"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"041108666000","EDGECORE DULLES","MECP3 ASHBURN 3 LLC","Private",-77.430033,39.031583,258716,"BUILT","OP","SUBURBAN MIXED USE","SUBURBAN",13.6410410026515,1,258716,"2020-11-12","2020-11-12",2021,1,0,"21195 ATLANTIC BLVD"
"061307791000","BEAUMEADE","ASHBURN DATA PROPERTY OWNER LP","Private",-77.452092,39.013893,210170,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",5.24487532235294,1,210170,"2023-05-26","2023-05-26",NA,0,1,"21800 BEAUMEADE CIR"
"203354208000","ARCOLA BUSINESS PARK","MICROSOFT CORP","Private",-77.555199,38.947484,735117,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",64.7575544179946,3,735117,"2021-10-12","2024-06-25",2024,1,2,"42010 GROWTH MINDSET LN; 42031 GROWTH MINDSET LN; 41840 GROWTH MINDSET LN"
"030393965000","LOUDOUN TECH CENTER","","Private",-77.414269,39.025069,114332,"BUILT","IP","SUBURBAN MIXED USE","SUBURBAN",14.3404355444191,1,114332,"2014-05-15","2014-05-15",2015,1,0,"21111 RIDGETOP CIR"
"032155119000","VANTAGE DATA CENTER - STERLING","VANTAGE DATA CENTERS VA2 LLC","Private",-77.42877,38.997618,423068,"BUILT","IP","SUBURBAN MIXED USE","SUBURBAN",18.4735494915372,2,423068,"2023-04-11","2023-07-10",2024,2,0,"22365 GLENN DR; 22435 GLENN DR"
"194103673000","TRUE NORTH","","Private",-77.537669,39.043257,508475,"BULT/UNDER CONSTRUCTION","OP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",97.1873268054929,5,508475,"2018-11-05","2023-11-15",2022,4,1,"42254 THUNDERBALL DR; 42311 THUNDERBALL DR; 42255 THUNDERBALL DR"
"193274995000","STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST)","NOVA BUILDING 2 LLC","Private",-77.546851,39.056349,413099,"UNDER CONSTRUCTION","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",10.1942316298603,1,413099,"2024-01-03","2024-01-03",NA,0,1,"20335 CELTIC PARK DR"
"193276668000","STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST)","NOVA BUILDING 1 LLC","Private",-77.546517,39.057115,414253,"BUILT","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",7.10620348820005,1,414253,"2024-01-03","2024-01-03",2024,1,0,"20575 CELTIC PARK DR"
"193367800000","SYCOLIN ROAD DISTRIBUTION CENTER","SCANNELL PROPERTIES #349 LLC","Private",-77.550579,39.05947,198300,"BUILT","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",36.0601946953394,1,198300,"2023-01-31","2023-01-31",2024,1,0,""
"044292829000","","","Private",-77.43661,39.000035,182782,"UNDER CONSTRUCTION","OP","SUBURBAN EMPLOYMENT","SUBURBAN",4.78238725198181,1,182782,"2024-07-01","2024-07-01",NA,0,1,"45210 VANTAGE DATA PLZ"
"044175589000","BROAD RUN TECHNOLOGY PARK","VANTAGE DATA CENTERS VA16 LLC","Private",-77.442067,38.999372,255935,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.79911613636259,1,255935,"2024-11-19","2024-11-19",NA,0,1,"22321 PACIFIC BLVD"
"093365404000","DIGITAL DULLES","DIGITAL WL 2834 LLC","Private",-77.492811,38.961144,NA,"BUILT/UNDER CONSTRUCTION","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",163.095769880668,4,2350571,"2022-04-26","2025-04-23",2023,1,3,"43704 EFFICIENCY DR; 43705 EFFICIENCY DR; 43715 EFFICIENCY DR"
"045282657000","DOWNS INDUSTRIAL PARK","DCT DULLES DOWNS LLC","Private",-77.441549,38.990591,287460,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",22.6875911752225,2,287460,"2015-10-08","2015-11-02",2016,2,0,"45110 LOUDOUN DOWNS LN; 45111 LOUDOUN DOWNS LN"
"088381462000","ASHBURN CENTER NORTH","","Private",-77.482647,39.016128,319504,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",15.1867892707646,3,319504,"2007-09-11","2024-10-15",2008,3,0,"21631 RED RUM DR; 21625 RED RUM DR; 21635 RED RUM DR"
"045391908000","","PROLOGIS","Private",-77.436656,38.991188,143337,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.58058558312607,2,143337,"2008-04-09","2008-04-09",2014,2,0,"45220 PROLOGIS PLZ; 45210 PROLOGIS PLZ"
"088392214000","ASHBURN TECHNOLOGY PARK","INTERGATE ASHBURN I LLC","Private",-77.476849,39.013451,324000,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",12.9731678486385,1,324000,"2024-06-07","2024-06-07",NA,0,1,"21735 RED RUM DR"
"113272390000","VANTAGE DATA CENTER - VA3","","Private",-77.505057,39.077898,385398,"BUILT","IP","SUBURBAN MIXED USE","SUBURBAN",16.1854906827816,1,385398,"2023-11-17","2023-11-17",2024,1,0,"19509 BELMONT RIDGE RD"
"089208954000","DULLES BERRY (DUPONT FABROS 3)","","Private",-77.47363,39.001652,616650,"UNDER CONSTRUCTION","PDRDP","URBAN TRANSIT CENTER","URBAN",30.904503543249,1,616650,"2022-08-25","2022-08-25",NA,0,1,"22210 LOUDOUN COUNTY PKWY"
"088389930000","ASHBURN TECHNOLOGY PARK","","Private",-77.479193,39.015227,982944,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",21.3283048038675,2,982944,"2012-06-27","2018-05-07",2017,2,0,"21745 RED RUM DR; 21741 RED RUM DR"
"042394385000","KINCORA","UNIT OWNERS-GENERAL COMMON ELEMENT","Private",-77.433765,39.025858,344284,"BUILT","PDMUB","SUBURBAN MIXED USE","SUBURBAN",39.7034988499306,2,344284,"2018-04-27","2019-11-18",2019,2,0,"21350 PACIFIC BLVD; 21340 PACIFIC BLVD"
"122207249000","NORTHWOODS","","Private",-77.493498,38.981368,258716,"UNDER CONSTRUCTION","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",11.9114288807056,1,258716,"2024-11-15","2024-11-15",NA,0,1,"43975 LIGHT SPEED PLZ"
"043176560000","DULLES 28 TECHNOLOGY PARK","LONG DRIVE LAND CO LLC","Private",-77.441035,39.010412,254174,"UNDER CONSTRUCTION","IP","SUBURBAN MIXED USE","SUBURBAN",13.2758843425656,1,254174,"2025-01-02","2025-01-02",NA,0,1,"45870 MEMPHIS PLZ"
"043171795000","DULLES 28 TECHNOLOGY PARK","LONG DRIVE LAND CO LLC","Private",-77.443385,39.007653,254144,"UNDER CONSTRUCTION","IP","SUBURBAN MIXED USE","SUBURBAN",15.0202976944616,1,254144,"2025-03-21","2025-03-21",NA,0,1,"45955 MEMPHIS PLZ"
